latitude,longitude,city,country,max_temp,humidity,cloudiness,wind_speed,url
89.9119623281843,-93.92568782209837,qaanaaq,gl,11.3,100,56,6.87,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=qaanaaq&units=imperial
-50.38765166872942,111.91710872000874,albany,au,35.6,80,1,3.74,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=albany&units=imperial
-59.04435796694062,112.03126674924027,albany,au,35.6,80,1,3.74,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=albany&units=imperial
89.96646622622853,-118.64709045586437,tuktoyaktuk,ca,17.6,92,40,13.87,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=tuktoyaktuk&units=imperial
-40.79525908921769,-64.1657348157764,viedma,ar,49.1,74,92,10.78,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=viedma&units=imperial
47.84145371155438,-142.00513724875984,sitka,us,49.19,99,88,9.78,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=sitka&units=imperial
56.069475741734834,23.085170964156703,kursenai,lt,46.4,100,90,10.29,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=kursenai&units=imperial
34.31982860072097,75.5645317894215,pahalgam,in,60.8,41,40,5.82,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=pahalgam&units=imperial
-21.814061242031542,-30.363847231048084,caravelas,br,78.17,100,88,15.7,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=caravelas&units=imperial
-5.412089226255361,35.694803017039334,kondoa,tz,68.41,77,92,5.97,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=kondoa&units=imperial
-8.654264490555619,-79.35736482757193,moche,pe,64.4,82,40,6.93,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=moche&units=imperial
